Order Date;Total Order;Delivered D+1;Delivered D+2;Delivered D+3;Delivered D+4;Delivered D+5;Delivered >=D+6;;
01/01/2020;8.794;50;2436;1504;510;1776;2.518,00;;
02/01/2020;3.496;622;622;210;877;717;448,00;;
03/01/2020;3.384;562;328;1022;589;447;436,00;;
04/01/2020;3.325;53;50;1007;894;888;433,00;;
05/01/2020;3.230;74;543;759;849;601;404,00;;
06/01/2020;4.300;740;1243;920;589;469;339,00;;
07/01/2020;4.059;731;1145;930;507;292;454,00;;
08/01/2020;3.920;670;1129;678;212;760;471,00;;
09/01/2020;3.478;626;598;226;929;755;344,00;;
10/01/2020;3.185;519;299;971;522;430;444,00;;
11/01/2020;3.300;75;13;1016;881;881;434,00;;
12/01/2020;3.036;88;537;710;786;519;396,00;;
13/01/2020;3.549;649;965;756;461;373;345,00;;
14/01/2020;3.589;617;998;775;449;298;452,00;;
15/01/2020;3.420;629;975;612;161;660;383,00;;
16/01/2020;3.332;616;536;180;853;693;454,00;;
17/01/2020;2.976;464;289;890;506;411;416,00;;
18/01/2020;2.760;52;44;839;734;737;354,00;;
19/01/2020;2.900;35;481;655;728;548;453,00;;
20/01/2020;3.430;597;950;779;415;360;329,00;;
21/01/2020;3.135;593;897;668;408;238;331,00;;
22/01/2020;3.366;596;966;633;172;643;356,00;;
23/01/2020;3.100;583;499;177;831;639;371,00;;
24/01/2020;3.100;505;301;946;499;406;443,00;;
25/01/2020;5.880;87;71;1864;1564;1599;695,00;;
26/01/2020;3.999;64;688;956;1036;724;531,00;;
27/01/2020;5.445;991;1525;1160;664;632;473,00;;
28/01/2020;4.655;870;1262;1066;582;331;544,00;;
29/01/2020;4.653;800;1294;833;270;954;502,00;;
30/01/2020;4.455;771;735;241;1181;931;596,00;;
31/01/2020;3.913;661;383;1158;689;563;459,00;;
01/02/2020;4.356;78;74;1346;1115;1211;532,00;;
02/02/2020;12.513;313;2015;2765;3278;2140;2.001,50;;
03/02/2020;5.790;1025;1598;1262;776;602;527,40;;
04/02/2020;5.713;1011;1628;1263;760;440;611,40;;
05/02/2020;5.262;921;1473;968;226;1063;611,40;;
06/02/2020;5.005;901;866;310;1306;1091;531,00;;
07/02/2020;5.227;821;491;1563;910;753;689,20;;
08/02/2020;4.805;124;77;1504;1288;1307;504,80;;
09/02/2020;5.060;106;896;1118;1341;941;658,00;;
10/02/2020;5.280;913;1489;1177;713;586;402,00;;
11/02/2020;4.598;860;1264;1025;616;405;428,00;;
12/02/2020;4.446;774;1272;791;262;916;431,20;;
13/02/2020;4.004;753;701;212;1049;817;472,00;;
14/02/2020;4.204;635;387;1270;698;589;625,20;;
15/02/2020;3.887;69;39;1205;976;1018;580,40;;
16/02/2020;3.867;46;634;878;1005;719;584,50;;
17/02/2020;4.048;749;1162;927;494;449;267,00;;
18/02/2020;4.096;729;1139;918;549;340;421,40;;
19/02/2020;3.881;714;1079;675;186;784;442,80;;
20/02/2020;3.812;690;633;210;957;797;524,50;;
21/02/2020;3.630;563;338;1096;617;505;511,00;;
22/02/2020;3.450;61;62;1056;918;949;403,60;;
23/02/2020;3.171;70;542;714;799;590;456,30;;
24/02/2020;3.773;653;1087;796;521;385;331,00;;
25/02/2020;7.315;1302;2048;1675;1009;636;645,00;;
26/02/2020;5.990;1120;1641;1078;264;1180;706,50;;
27/02/2020;5.713;1034;954;383;1451;1148;743,40;;
28/02/2020;5.115;808;552;1535;839;670;711,00;;
29/02/2020;4.805;124;91;1480;1220;1321;568,80;;
01/03/2020;4.500;117;743;1022;1170;824;624,00;;
02/03/2020;5.415;1007;1543;1148;693;612;412,00;;
